STT,GIỐNG NHAU - LOẠI,GIỐNG NHAU - NHU CẦU,GIỐNG NHAU - TỈNH,QUẬN HUYỆN,PHƯỜNG XÃ,GIÁ - TRIỆU ĐỒNG,NGÀY ĐĂNG,HÃNG XE,DÒNG XE,NĂM SẢN XUẤT,DUNG TÍCH,KIỂU XE,SỐ KM ĐÃ ĐI
504,Xe máy,Cần bán,Hồ Chí Minh,Quận 11,Phường 9,38.9,30/12/2020,Suzuki,Satria,2019,100 - 175 ,Tay côn/Moto,9
505,Xe máy,Cần bán,Hồ Chí Minh,Huyện Bình Chánh,Xã Bình Chánh,4.5,30/12/2020,Honda,Wave,2013,50 - 100 ,Xe số,16
506,Xe máy,Cần bán,Hồ Chí Minh,Quận 5,,6.6,30/12/2020,Yamaha,Nouvo,2009,100 - 175 ,Tay ga,12
507,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường Bình Trị Đông,13.7,30/12/2020,Honda,Wave,2019,100 - 175 ,Xe số,24622
508,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Tân,,9.8,30/12/2020,Yamaha,Sirius,2012,100 - 175 ,Xe số,25
509,Xe máy,Cần bán,Hồ Chí Minh,Quận 6,Phường 13,20.9,30/12/2020,Honda,@,2003,,Tay ga,30
510,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Bình,Phường 7,47.5,30/12/2020,Piaggio,Primavera,2018,,Tay ga,3
511,Xe máy,Cần bán,Hồ Chí Minh,Quận 11,,98,30/12/2020,Honda,SH,2018,100 - 175 ,Tay ga,5008
512,Xe máy,Cần bán,Hồ Chí Minh,Quận 8,Phường 16,385,30/12/2020,Ducati,Dòng khác,2017,Trên 175 ,Tay côn/Moto,16
513,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Hiệp Tân,14.8,30/12/2020,Yamaha,Nozza,2016,100 - 175 ,Tay ga,12
514,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Bình,Phường 10,8.5,30/12/2020,Honda,Lead,2008,100 - 175 ,Tay ga,22222
515,Xe máy,Cần bán,Hồ Chí Minh,Quận 11,Phường 9,27.9,30/12/2020,Yamaha,Exciter,2010,100 - 175 ,Tay côn/Moto,9
516,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Phú Thọ Hòa,5.5,30/12/2020,Honda,Dream,2001,100 - 175 ,Xe số,39
517,Xe máy,Cần bán,Hồ Chí Minh,Quận Phú Nhuận,Phường 8,15.8,30/12/2020,Yamaha,Jupiter,2014,100 - 175 ,Xe số,10
518,Xe máy,Cần bán,Hồ Chí Minh,Quận Phú Nhuận,Phường 9,33.9,30/12/2020,Suzuki,Raider,2019,100 - 175 ,Tay côn/Moto,5
519,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Thạnh,Phường 11,42.5,30/12/2020,Honda,Air Blade,2020,,Tay ga,12
520,Xe máy,Cần bán,Hồ Chí Minh,Quận 8,,17.5,30/12/2020,Honda,Vision,2014,100 - 175 ,Tay ga,5555
521,Xe máy,Cần bán,Hồ Chí Minh,Quận 8,Phường 6,42.5,30/12/2020,Honda,Sonic,2018,100 - 175 ,Tay côn/Moto,94
522,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Bình,Phường 10,40.5,30/12/2020,Honda,Sonic,2019,100 - 175 ,Tay côn/Moto,5
523,Xe máy,Cần bán,Hồ Chí Minh,Quận Phú Nhuận,Phường 8,43.5,30/12/2020,Honda,Sonic,2019,100 - 175 ,Tay côn/Moto,8
524,Xe máy,Cần bán,Hồ Chí Minh,Quận 7,Phường Tân Quy,3.3,30/12/2020,Suzuki,Hayate,2010,100 - 175 ,Tay ga,10
525,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Phú,,27.5,30/12/2020,Suzuki,Sport / Xipo,2000,100 - 175 ,Tay côn/Moto,
526,Xe máy,Cần bán,Hồ Chí Minh,Quận 3,Phường 10,3,30/12/2020,Yamaha,Nouvo,2006,,Tay ga,30231
527,Xe máy,Cần bán,Hồ Chí Minh,Quận Gò Vấp,,21,30/12/2020,Yamaha,Nvx,2017,100 - 175 ,Tay ga,193
528,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường Bình Trị Đông,75,30/12/2020,Honda,SH,2017,100 - 175 ,Tay ga,901
529,Xe máy,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 14,45.5,30/12/2020,Honda,Vario,2019,100 - 175 ,Tay ga,13
530,Xe máy,Cần bán,Hồ Chí Minh,Quận 7,Phường Tân Thuận Tây,11.5,30/12/2020,Honda,Wave,2012,100 - 175 ,Xe số,40
531,Xe máy,Cần bán,Hồ Chí Minh,Quận 7,Phường Tân Phong,24.5,30/12/2020,Honda,Future,2006,100 - 175 ,Xe số,6
532,Xe máy,Cần bán,Hồ Chí Minh,Quận 11,,49.5,30/12/2020,Yamaha,Exciter,2010,100 - 175 ,Xe số,666666
533,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Bình,Phường 15,10.8,30/12/2020,Honda,Lead,2010,50 - 100 ,Tay ga,28
534,Xe máy,Cần bán,Hồ Chí Minh,Quận 3,,13.5,30/12/2020,Honda,Cub,1983,50 - 100 ,Xe số,20
535,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường An Lạc A,8.9,30/12/2020,Yamaha,Sirius,2010,100 - 175 ,Xe số,
536,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Tân Thành,11,30/12/2020,SYM,Elegant,2016,Dưới 50 ,Xe số,11285
537,Xe máy,Cần bán,Hồ Chí Minh,Quận 3,Phường 10,3,30/12/2020,Hãng khác,Dòng khác,2010,,Xe số,32321
538,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Hiệp Tân,16.8,30/12/2020,Honda,PS,2003,100 - 175 ,Tay ga,12
539,Xe máy,Cần bán,Hồ Chí Minh,Huyện Bình Chánh,Xã Phong Phú,21.9,30/12/2020,Honda,Vision,2017,,Tay ga,15
540,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Bình,,3.7,30/12/2020,Yamaha,Mio,2006,100 - 175 ,Tay ga,852852
541,Xe máy,Cần bán,Hồ Chí Minh,Quận Thủ Đức,Phường Hiệp Bình Chánh,13.5,30/12/2020,Honda,Cub,1989,,Xe số,600
542,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Phú Thạnh,43.5,30/12/2020,Honda,SH Mode,2016,100 - 175 ,Tay ga,12
543,Xe máy,Cần bán,Hồ Chí Minh,Quận Thủ Đức,Phường Linh Tây,193.8,30/12/2020,Kawasaki,Vulcan,2019,Trên 175 ,Tay côn/Moto,
544,Xe máy,Cần bán,Hồ Chí Minh,Huyện Nhà Bè,Xã Nhơn Đức,19.9,30/12/2020,Honda,PS,2002,,Tay ga,30
545,Xe máy,Cần bán,Hồ Chí Minh,Huyện Hóc Môn,Xã Đông Thạnh,103,30/12/2020,Honda,SH,2008,100 - 175 ,Tay ga,19
546,Xe máy,Cần bán,Hồ Chí Minh,Huyện Bình Chánh,Xã An Phú Tây,25,30/12/2020,Yamaha,Exciter,2016,,Tay côn/Moto,32
547,Xe máy,Cần bán,Hồ Chí Minh,Quận Phú Nhuận,,4.55,30/12/2020,Suzuki,Hayate,2010,,Tay ga,5
548,Xe máy,Cần bán,Hồ Chí Minh,Quận 8,Phường 3,258,30/12/2020,MV Agusta,Rivale,2016,Trên 175 ,Tay côn/Moto,13
549,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Thạnh,Phường 21,15.8,30/12/2020,Piaggio,Vespa,2012,100 - 175 ,Tay ga,22
550,Xe máy,Cần bán,Hồ Chí Minh,Quận 1,Phường Tân Định,11.5,30/12/2020,Yamaha,Sirius,2016,,Xe số,45
551,Xe máy,Cần bán,Hồ Chí Minh,Quận 7,Phường Tân Hưng,68,30/12/2020,Honda,SH,2016,100 - 175 ,Tay ga,9999
552,Xe máy,Cần bán,Hồ Chí Minh,Quận 8,Phường 8,38.5,30/12/2020,Honda,Click,2016,100 - 175 ,Tay ga,39
553,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Tân Sơn Nhì,5,30/12/2020,Yamaha,Sirius,2000,Không biết rõ,Xe số,80
554,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Bình,Phường 15,48,30/12/2020,RebelUSA,Rebell,2012,,Tay côn/Moto,20
555,Xe máy,Cần bán,Hồ Chí Minh,Quận 12,,12.5,29/12/2020,Detech,Espero,2020,100 - 175 ,Tay côn/Moto,
556,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Bình,Phường 13,23.9,29/12/2020,Honda,Winner,2019,,Tay côn/Moto,20
557,Xe máy,Cần bán,Hồ Chí Minh,Quận 6,Phường 4,58,29/12/2020,Honda,Vario,2018,100 - 175 ,Tay ga,15
558,Xe máy,Cần bán,Hồ Chí Minh,Quận 4,Phường 4,85,29/12/2020,Honda,CB,2012,Trên 175 ,Tay côn/Moto,20
559,Xe máy,Cần bán,Hồ Chí Minh,Huyện Bình Chánh,Xã Tân Quý Tây,20,29/12/2020,Honda,Wave,2014,100 - 175 ,Xe số,150
560,Xe máy,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 5,38.6,29/12/2020,Yamaha,Exciter,2006,100 - 175 ,Xe số,25652
561,Xe máy,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 5,37.8,29/12/2020,Honda,MSX 125,2019,100 - 175 ,Tay ga,2
562,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường Bình Trị Đông,11,29/12/2020,Honda,Wave,2017,Không biết rõ,Tay côn/Moto,
563,Xe máy,Cần bán,Hồ Chí Minh,Huyện Bình Chánh,Xã Phạm Văn Hai,22.5,29/12/2020,Honda,Air Blade,2013,100 - 175 ,Tay ga,250
564,Xe máy,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 17,13.8,29/12/2020,Suzuki,Axelo,2013,100 - 175 ,Tay côn/Moto,30
565,Xe máy,Cần bán,Hồ Chí Minh,Huyện Hóc Môn,Xã Xuân Thới Thượng,32,29/12/2020,Honda,Lead,2019,100 - 175 ,Tay ga,9
566,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Bình,Phường 15,17,29/12/2020,Honda,Wave,2016,100 - 175 ,Xe số,1
567,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Tân,,33,29/12/2020,Yamaha,Grande,2018,100 - 175 ,Tay ga,5512
568,Xe máy,Cần bán,Hồ Chí Minh,Huyện Bình Chánh,Xã Vĩnh Lộc B,13.8,29/12/2020,Honda,Dream,1996,50 - 100 ,Xe số,50
569,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Phú Thạnh,37.5,29/12/2020,Yamaha,Exciter,2019,,Tay côn/Moto,17
570,Xe máy,Cần bán,Hồ Chí Minh,Quận 3,Phường 9,3.2,29/12/2020,Honda,Wave,2012,100 - 175 ,Xe số,40
571,Xe máy,Cần bán,Hồ Chí Minh,Quận 3,Phường 14,45,29/12/2020,Honda,SH Mode,2017,100 - 175 ,Tay ga,24
572,Xe máy,Cần bán,Hồ Chí Minh,Quận 5,Phường 13,98,29/12/2020,Honda,SH,2020,100 - 175 ,Tay ga,
573,Xe máy,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 4,176,29/12/2020,Kawasaki,Versys,2017,Trên 175 ,Xe số,19
574,Xe máy,Cần bán,Hồ Chí Minh,Quận 10,Phường 15,35.5,29/12/2020,Yamaha,Exciter,2010,,Tay côn/Moto,12345
575,Xe máy,Cần bán,Hồ Chí Minh,Quận 3,Phường 12,23.3,29/12/2020,Honda,PCX,2012,100 - 175 ,Tay ga,36
576,Xe máy,Cần bán,Hồ Chí Minh,Quận 11,Phường 16,529,29/12/2020,BMW,S1000RR,2016,Trên 175 ,Tay côn/Moto,1248
577,Xe máy,Cần bán,Hồ Chí Minh,Quận 11,Phường 9,30.8,29/12/2020,Honda,Winner,2019,100 - 175 ,Tay côn/Moto,9
578,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Thạnh,Phường 12,480,29/12/2020,Honda,SH,2013,,Tay ga,400
579,Xe máy,Cần bán,Hồ Chí Minh,Huyện Bình Chánh,Xã Vĩnh Lộc B,10.8,29/12/2020,Yamaha,Mio,2010,100 - 175 ,Tay ga,18564
580,Xe máy,Cần bán,Hồ Chí Minh,Quận 12,Phường An Phú Đông,2.8,29/12/2020,Honda,Wave,2013,,Xe số,25556
581,Xe máy,Cần bán,Hồ Chí Minh,Huyện Bình Chánh,Xã Vĩnh Lộc B,1.9,29/12/2020,Yamaha,Sirius,2005,100 - 175 ,Xe số,370
582,Xe máy,Cần bán,Hồ Chí Minh,Quận 11,Phường 14,179,29/12/2020,Yamaha,YAZ,2020,100 - 175 ,Tay côn/Moto,16
583,Xe máy,Cần bán,Hồ Chí Minh,Quận 10,Phường 10,13.5,29/12/2020,Honda,Wave,2018,100 - 175 ,Xe số,203
584,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Thạnh,Phường 25,18.3,29/12/2020,Yamaha,Grande,2016,100 - 175 ,Tay ga,40
585,Xe máy,Cần bán,Hồ Chí Minh,Huyện Bình Chánh,Xã Bình Chánh,268,29/12/2020,Yamaha,YAZ,2013,100 - 175 ,Xe số,9999
586,Xe máy,Cần bán,Hồ Chí Minh,Quận 8,Phường 6,18.5,29/12/2020,Honda,Future,2000,,Xe số,25
587,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Phú Thạnh,6.8,29/12/2020,Yamaha,Nouvo,2009,100 - 175 ,Tay ga,25
588,Xe máy,Cần bán,Hồ Chí Minh,Quận 3,Phường 10,4,29/12/2020,Hãng khác,Dòng khác,2010,,Xe số,32132
589,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Thạnh,Phường 26,12.8,29/12/2020,Honda,Click,2010,100 - 175 ,Tay ga,
590,Xe máy,Cần bán,Hồ Chí Minh,Huyện Hóc Môn,Xã Xuân Thới Sơn,33,29/12/2020,Yamaha,Exciter,2019,100 - 175 ,Tay côn/Moto,15
591,Xe máy,Cần bán,Hồ Chí Minh,Quận Thủ Đức,Phường Linh Tây,51.5,29/12/2020,Honda,SH Mode,2017,100 - 175 ,Tay ga,17
592,Xe máy,Cần bán,Hồ Chí Minh,Quận 11,Phường 9,43.9,29/12/2020,Honda,Vario,2019,100 - 175 ,Tay ga,9
593,Xe máy,Cần bán,Hồ Chí Minh,Quận 7,Phường Tân Phong,8.3,29/12/2020,Yamaha,Nouvo,2009,100 - 175 ,Tay ga,28453
594,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Bình,Phường 2,1.65,29/12/2020,Honda,Wave,2008,50 - 100 ,Xe số,1000000
595,Xe máy,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 5,22,29/12/2020,Yamaha,Janus,2019,,Tay ga,100
596,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Tân,,8.6,29/12/2020,Honda,Wave,2005,100 - 175 ,Xe số,9658
597,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Phú Thọ Hòa,125,29/12/2020,Honda,CB,1997,Trên 175 ,Tay côn/Moto,
598,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Thạnh,Phường 25,42.5,29/12/2020,Honda,SH,2003,,Tay ga,35
599,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường Bình Trị Đông,25.8,29/12/2020,Yamaha,Exciter,2015,,Tay côn/Moto,15
600,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Hiệp Tân,5.8,29/12/2020,Suzuki,Revo,2012,,Xe số,21
601,Xe máy,Cần bán,Hồ Chí Minh,Quận 12,Phường Thới An,23.8,29/12/2020,Honda,Future,2019,,Xe số,19
602,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Thạnh,Phường 21,13.5,29/12/2020,Yamaha,Nouvo,2012,,Tay ga,30
603,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường An Lạc,219,29/12/2020,Honda,Shadow,2008,Trên 175 ,Tay côn/Moto,14
604,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Tân,,47.9,29/12/2020,Honda,Shadow,2010,Trên 175 ,Tay côn/Moto,20
605,Xe máy,Cần bán,Hồ Chí Minh,Huyện Bình Chánh,,2.6,29/12/2020,Kawasaki,Max,2009,,Xe số,24
606,Xe máy,Cần bán,Hồ Chí Minh,Quận Thủ Đức,Phường Bình Chiểu,15,29/12/2020,SYM,Wave,2019,100 - 175 ,Xe số,37
607,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Tân,,9.9,29/12/2020,Honda,Wave,2014,100 - 175 ,Xe số,34
608,Xe máy,Cần bán,Hồ Chí Minh,Quận 9,Phường Tăng Nhơn Phú A,54,29/12/2020,Honda,SH Mode,2019,,Tay ga,
609,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Thạnh,Phường 3,44,29/12/2020,Honda,Future,2020,,Xe số,199
610,Xe máy,Cần bán,Hồ Chí Minh,Quận Phú Nhuận,,38.5,29/12/2020,Yamaha,Exciter,2019,100 - 175 ,Tay côn/Moto,3525
611,Xe máy,Cần bán,Hồ Chí Minh,Quận 7,Phường Tân Quy,1.9,29/12/2020,SYM,Attila,2005,100 - 175 ,Tay ga,10
612,Xe máy,Cần bán,Hồ Chí Minh,Quận 10,Phường 4,16.5,29/12/2020,Yamaha,Jupiter,2014,100 - 175 ,Xe số,125
613,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường Tân Tạo A,14,29/12/2020,Honda,Wave,2019,100 - 175 ,Xe số,24
614,Xe máy,Cần bán,Hồ Chí Minh,Quận Thủ Đức,Phường Linh Tây,34,29/12/2020,Honda,Winner,2020,,Tay côn/Moto,17
615,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Thạnh,Phường 28,6.2,29/12/2020,Yamaha,Nouvo,2009,,Tay ga,1234
616,Xe máy,Cần bán,Hồ Chí Minh,Quận 6,,17.2,29/12/2020,Honda,Air Blade,2012,,Tay ga,31
617,Xe máy,Cần bán,Hồ Chí Minh,Quận Thủ Đức,Phường Linh Đông,18,29/12/2020,Honda,Future,2007,100 - 175 ,Xe số,120
618,Xe máy,Cần bán,Hồ Chí Minh,Quận 8,Phường 16,9,29/12/2020,Yamaha,Nouvo,2011,100 - 175 ,Tay ga,57
619,Xe máy,Cần bán,Hồ Chí Minh,Quận 11,Phường 9,28.9,29/12/2020,Honda,Winner,2019,100 - 175 ,Tay côn/Moto,9
620,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Bình,Phường 8,152,29/12/2020,Honda,SH,2010,100 - 175 ,Tay ga,15
621,Xe máy,Cần bán,Hồ Chí Minh,Quận 9,Phường Phước Bình,33,29/12/2020,Honda,Air Blade,2018,100 - 175 ,Tay ga,15
622,Xe máy,Cần bán,Hồ Chí Minh,Quận 5,,7.4,29/12/2020,Yamaha,Sirius,2011,100 - 175 ,Xe số,12
623,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Tân,,4.9,29/12/2020,SYM,Attila,2008,,Tay ga,8532
624,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Thạnh,Phường 13,16.5,29/12/2020,Piaggio,Liberty,2012,100 - 175 ,Tay ga,30
625,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường An Lạc,15.8,29/12/2020,Honda,Air Blade,2012,100 - 175 ,Tay ga,33
626,Xe máy,Cần bán,Hồ Chí Minh,Quận 11,Phường 9,25.8,29/12/2020,Honda,Winner,2018,100 - 175 ,Tay côn/Moto,9
627,Xe máy,Cần bán,Hồ Chí Minh,Huyện Bình Chánh,Xã Vĩnh Lộc B,46.5,29/12/2020,Honda,Vario,2018,100 - 175 ,Tay ga,26
628,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Phú Thọ Hòa,20.8,29/12/2020,Honda,Dylan,2005,,Tay ga,28
629,Xe máy,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 13,18,29/12/2020,SYM,Elite,2017,Dưới 50 ,Tay ga,45
630,Xe máy,Cần bán,Hồ Chí Minh,Quận 12,,20,29/12/2020,Honda,67,2017,Dưới 50 ,Xe số,100
631,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Thạnh,Phường 22,13.8,29/12/2020,Honda,Lead,2012,100 - 175 ,Tay ga,21
632,Xe máy,Cần bán,Hồ Chí Minh,Huyện Hóc Môn,Xã Bà Điểm,14.3,29/12/2020,Honda,Air Blade,2013,100 - 175 ,Tay ga,13
633,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Thạnh,Phường 1,43,29/12/2020,Honda,Cub,1997,50 - 100 ,Xe số,30
634,Xe máy,Cần bán,Hồ Chí Minh,Huyện Bình Chánh,Xã Phong Phú,66.6,29/12/2020,Piaggio,Sprint,2020,,Tay ga,17
635,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường Bình Trị Đông,15.9,29/12/2020,Honda,Air Blade,2011,,Tay ga,29
636,Xe máy,Cần bán,Hồ Chí Minh,Quận 8,Phường 4,33.5,29/12/2020,Honda,PCX,2016,100 - 175 ,Tay ga,30
637,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Thạnh,,14.4,29/12/2020,Honda,Future,2015,100 - 175 ,Xe số,30
638,Xe máy,Cần bán,Hồ Chí Minh,Quận 12,Phường Trung Mỹ Tây,9.3,29/12/2020,Yamaha,Sirius,2016,,Xe số,19
639,Xe máy,Cần bán,Hồ Chí Minh,Quận Phú Nhuận,Phường 9,50.9,29/12/2020,Honda,Vario,2017,100 - 175 ,Tay ga,5
640,Xe máy,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 7,45,29/12/2020,Piaggio,GTS,2014,100 - 175 ,Tay ga,11
641,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Thạnh,Phường 14,23.8,29/12/2020,Honda,Air Blade,2014,100 - 175 ,Tay ga,31
642,Xe máy,Cần bán,Hồ Chí Minh,Quận Phú Nhuận,Phường 9,30.9,29/12/2020,Honda,Winner,2019,100 - 175 ,Tay côn/Moto,
643,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Tây Thạnh,18.5,29/12/2020,Honda,Wave,2005,,Xe số,9999
644,Xe máy,Cần bán,Hồ Chí Minh,Huyện Củ Chi,Xã Tân Thông Hội,11.8,29/12/2020,Honda,Chaly,1990,50 - 100 ,Xe số,25
645,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Thạnh,Phường 12,7.6,29/12/2020,Honda,Wave,2012,100 - 175 ,Xe số,33333
646,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Thạnh,Phường 21,20.6,29/12/2020,Honda,Air Blade,2010,,Tay ga,38
647,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Phú,Phường Phú Trung,37.8,29/12/2020,Suzuki,EN,2013,100 - 175 ,Tay côn/Moto,20
648,Xe máy,Cần bán,Hồ Chí Minh,Huyện Củ Chi,Xã Tân Thông Hội,14.8,29/12/2020,Honda,Future,2006,100 - 175 ,Xe số,40
649,Xe máy,Cần bán,Hồ Chí Minh,Quận Thủ Đức,Phường Linh Chiểu,6.5,29/12/2020,Yamaha,Sirius,2007,100 - 175 ,Xe số,57
650,Xe máy,Cần bán,Hồ Chí Minh,Quận Phú Nhuận,Phường 3,79.5,29/12/2020,Honda,Future,2001,100 - 175 ,Xe số,105
651,Xe máy,Cần bán,Hồ Chí Minh,Quận 8,,34.5,29/12/2020,Honda,Spacy,2003,,Tay ga,5555
652,Xe máy,Cần bán,Hồ Chí Minh,Quận 8,Phường 16,28.9,29/12/2020,Honda,Air Blade,2018,100 - 175 ,Tay ga,32
653,Xe máy,Cần bán,Hồ Chí Minh,Quận 11,Phường 9,44.9,29/12/2020,Honda,Sonic,2020,100 - 175 ,Tay côn/Moto,9
654,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Bình,Phường 8,209,29/12/2020,Suzuki,Satria,2000,100 - 175 ,Tay côn/Moto,30
655,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Thạnh,Phường 3,21.5,29/12/2020,Honda,Wave,2020,100 - 175 ,Xe số,16
656,Xe máy,Cần bán,Hồ Chí Minh,Quận Phú Nhuận,Phường 9,35.9,29/12/2020,Suzuki,Raider,2018,100 - 175 ,Tay côn/Moto,5
657,Xe máy,Cần bán,Hồ Chí Minh,Quận Phú Nhuận,Phường 2,2.9,29/12/2020,Yamaha,Nouvo,2008,100 - 175 ,Tay ga,38
658,Xe máy,Cần bán,Hồ Chí Minh,Quận 11,Phường 9,24.8,29/12/2020,Honda,Winner,2017,100 - 175 ,Tay côn/Moto,9
659,Xe máy,Cần bán,Hồ Chí Minh,Quận Phú Nhuận,Phường 9,45.9,29/12/2020,Honda,Sonic,2020,100 - 175 ,Tay côn/Moto,5
660,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường Bình Trị Đông,58,29/12/2020,Honda,SH Mode,2019,100 - 175 ,Tay ga,4
661,Xe máy,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 10,14.8,29/12/2020,Piaggio,Liberty,2012,100 - 175 ,Tay ga,22
662,Xe máy,Cần bán,Hồ Chí Minh,Quận 6,,8.9,29/12/2020,Honda,Wave,2015,100 - 175 ,Xe số,9
663,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường Bình Trị Đông B,26.5,29/12/2020,Honda,PCX,2011,100 - 175 ,Tay ga,30
664,Xe máy,Cần bán,Hồ Chí Minh,Quận 11,Phường 9,49.8,29/12/2020,Honda,Vario,2020,100 - 175 ,Tay ga,9
665,Xe máy,Cần bán,Hồ Chí Minh,Quận 3,Phường 2,10,29/12/2020,Honda,Chaly,2019,50 - 100 ,Xe số,6
666,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường Bình Trị Đông B,22.8,29/12/2020,Honda,Lead,2014,100 - 175 ,Tay ga,25
667,Xe máy,Cần bán,Hồ Chí Minh,Quận 8,Phường 11,34.8,29/12/2020,Honda,PCX,2014,100 - 175 ,Tay ga,36
668,Xe máy,Cần bán,Hồ Chí Minh,Quận 8,Phường 4,17.5,29/12/2020,Honda,Vision,2014,,Tay ga,30
669,Xe máy,Cần bán,Hồ Chí Minh,Quận Bình Tân,Phường Tân Tạo A,18.9,29/12/2020,Yamaha,Exciter,2014,100 - 175 ,Tay côn/Moto,60
670,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Bình,Phường 10,12.8,29/12/2020,Piaggio,Vespa,2009,,Tay ga,15
671,Xe máy,Cần bán,Hồ Chí Minh,Quận 8,Phường 5,20.5,29/12/2020,Honda,Air Blade,2011,100 - 175 ,Tay ga,19
672,Xe máy,Cần bán,Hồ Chí Minh,Quận Thủ Đức,Phường Linh Tây,43.8,29/12/2020,Honda,Vario,2018,100 - 175 ,Tay ga,12
673,Xe máy,Cần bán,Hồ Chí Minh,Huyện Hóc Môn,Xã Tân Thới Nhì,4.7,29/12/2020,SYM,Attila,2010,100 - 175 ,Tay ga,15
674,Xe máy,Cần bán,Hồ Chí Minh,Quận Gò Vấp,Phường 14,20.5,29/12/2020,Honda,Future,2017,100 - 175 ,Xe số,25
675,Xe máy,Cần bán,Hồ Chí Minh,Quận Tân Bình,,7.2,29/12/2020,Honda,Wave,2011,100 - 175 ,Xe số,29
676,Xe máy,Cần bán,Hồ Chí Minh,Quận 8,Phường 6,54.8,29/12/2020,Honda,SH,2019,100 - 175 ,Tay ga,10
